Case ID,Activity,Timestamp,User,Status
RFQ-00001,Issuance of RFQ,2025-01-16 19:00:00,Alice,Complete
RFQ-00001,Technical Evaluation,2025-01-16 23:00:00,Fiona,Complete
RFQ-00001,Commercial Evaluation,2025-01-17 22:00:00,Diana,Complete
RFQ-00001,PO Creation,2025-01-18 09:00:00,Bob,Complete
RFQ-00001,Supplier Confirmation,2025-01-19 05:00:00,Diana,Complete
RFQ-00001,Goods Dispatch,2025-01-19 13:00:00,Edward,Complete
RFQ-00001,Goods Receipt,2025-01-19 21:00:00,Alice,Complete
RFQ-00001,Inspection & Approval,2025-01-20 11:00:00,Fiona,Complete
RFQ-00001,Invoice Generation,2025-01-21 10:00:00,Bob,Complete
RFQ-00001,Payment to Supplier,2025-01-21 19:00:00,Fiona,Complete
RFQ-00002,Payment to Supplier,2025-01-09 17:00:00,Fiona,Complete
RFQ-00002,Commercial Evaluation,2025-01-10 10:00:00,Bob,Complete
RFQ-00002,Supplier Confirmation,2025-01-10 17:00:00,Edward,Complete
RFQ-00002,Invoice Generation,2025-01-11 07:00:00,Diana,Complete
RFQ-00002,Goods Dispatch,2025-01-11 14:00:00,Charlie,Complete
RFQ-00002,Goods Receipt,2025-01-12 13:00:00,Diana,Complete
RFQ-00002,PO Creation,2025-01-13 03:00:00,Bob,Complete
RFQ-00002,Technical Evaluation,2025-01-13 21:00:00,Diana,Complete
RFQ-00002,Issuance of RFQ,2025-01-14 20:00:00,Edward,Complete
RFQ-00002,Inspection & Approval,2025-01-15 02:00:00,Fiona,Complete
RFQ-00003,Issuance of RFQ,2025-02-05 09:00:00,Charlie,Complete
RFQ-00003,Technical Evaluation,2025-02-06 05:00:00,Charlie,Complete
RFQ-00003,Commercial Evaluation,2025-02-06 09:00:00,Charlie,Complete
RFQ-00003,PO Creation,2025-02-06 13:00:00,Bob,Complete
RFQ-00003,Supplier Confirmation,2025-02-06 23:00:00,Alice,Complete
RFQ-00003,Goods Receipt,2025-02-07 16:00:00,Diana,Complete
RFQ-00003,Inspection & Approval,2025-02-08 14:00:00,Charlie,Complete
RFQ-00003,Invoice Generation,2025-02-09 05:00:00,Alice,Complete
RFQ-00003,Payment to Supplier,2025-02-10 03:00:00,Charlie,Complete
RFQ-00004,Issuance of RFQ,2025-02-14 04:00:00,Bob,Complete
RFQ-00004,Technical Evaluation,2025-02-14 08:00:00,Diana,Complete
RFQ-00004,Commercial Evaluation,2025-02-15 07:00:00,Alice,Complete
RFQ-00004,PO Creation,2025-02-15 09:00:00,Diana,Complete
RFQ-00004,Supplier Confirmation,2025-02-16 04:00:00,Bob,Complete
RFQ-00004,Goods Dispatch,2025-02-16 19:00:00,Alice,Complete
RFQ-00004,Goods Receipt,2025-02-17 13:00:00,Fiona,Complete
RFQ-00004,Inspection & Approval,2025-02-18 03:00:00,Bob,Complete
RFQ-00004,Invoice Generation,2025-02-18 19:00:00,Diana,Complete
RFQ-00004,Payment to Supplier,2025-02-19 08:00:00,Charlie,Complete
RFQ-00005,Issuance of RFQ,2025-01-09 15:00:00,Fiona,Complete
RFQ-00005,Technical Evaluation,2025-01-09 22:00:00,Bob,Complete
RFQ-00005,Commercial Evaluation,2025-01-10 16:00:00,Alice,Complete
RFQ-00005,PO Creation,2025-01-11 06:00:00,Fiona,Complete
RFQ-00005,Supplier Confirmation,2025-01-11 22:00:00,Charlie,Complete
RFQ-00005,Goods Dispatch,2025-01-12 19:00:00,Bob,Complete
RFQ-00005,Goods Receipt,2025-01-13 04:00:00,Diana,Complete
RFQ-00005,Inspection & Approval,2025-01-14 00:00:00,Edward,Complete
RFQ-00005,Invoice Generation,2025-01-14 11:00:00,Charlie,Complete
RFQ-00005,Payment to Supplier,2025-01-14 15:00:00,Bob,Complete
RFQ-00006,Issuance of RFQ,2025-01-27 06:00:00,Fiona,Complete
RFQ-00006,Technical Evaluation,2025-01-27 21:00:00,Charlie,Complete
RFQ-00006,Commercial Evaluation,2025-01-28 07:00:00,Diana,Complete
RFQ-00006,PO Creation,2025-01-28 09:00:00,Alice,Complete
RFQ-00006,Supplier Confirmation,2025-01-29 07:00:00,Charlie,Complete
RFQ-00006,Goods Dispatch,2025-01-30 02:00:00,Charlie,Complete
RFQ-00006,Goods Receipt,2025-01-30 06:00:00,Edward,Complete
RFQ-00006,Inspection & Approval,2025-01-30 13:00:00,Fiona,Complete
RFQ-00006,Invoice Generation,2025-01-31 10:00:00,Charlie,Complete
RFQ-00006,Payment to Supplier,2025-01-31 16:00:00,Fiona,Complete
RFQ-00007,Commercial Evaluation,2025-01-09 11:00:00,Charlie,Complete
RFQ-00007,PO Creation,2025-01-09 19:00:00,Bob,Complete
RFQ-00007,Goods Dispatch,2025-01-10 04:00:00,Fiona,Complete
RFQ-00007,Goods Receipt,2025-01-11 02:00:00,Bob,Complete
RFQ-00007,Supplier Confirmation,2025-01-12 01:00:00,Charlie,Complete
RFQ-00007,Invoice Generation,2025-01-12 12:00:00,Edward,Complete
RFQ-00007,Issuance of RFQ,2025-01-13 12:00:00,Edward,Complete
RFQ-00007,Inspection & Approval,2025-01-14 00:00:00,Fiona,Complete
RFQ-00007,Payment to Supplier,2025-01-14 21:00:00,Alice,Complete
RFQ-00007,Technical Evaluation,2025-01-15 18:00:00,Edward,Complete
RFQ-00008,Issuance of RFQ,2025-01-09 12:00:00,Diana,Complete
RFQ-00008,Technical Evaluation,2025-01-10 03:00:00,Edward,Complete
RFQ-00008,Commercial Evaluation,2025-01-10 06:00:00,Alice,Complete
RFQ-00008,PO Creation,2025-01-11 00:00:00,Alice,Complete
RFQ-00008,Supplier Confirmation,2025-01-11 04:00:00,Edward,Complete
RFQ-00008,Goods Dispatch,2025-01-11 11:00:00,Bob,Complete
RFQ-00008,Goods Receipt,2025-01-12 04:00:00,Alice,Complete
RFQ-00008,Inspection & Approval,2025-01-12 06:00:00,Edward,Complete
RFQ-00008,Invoice Generation,2025-01-12 22:00:00,Alice,Complete
RFQ-00009,Issuance of RFQ,2025-01-25 11:00:00,Bob,Complete
RFQ-00009,Technical Evaluation,2025-01-26 04:00:00,Edward,Complete
RFQ-00009,Commercial Evaluation,2025-01-27 01:00:00,Bob,Complete
